SampleID	Part	Irrigation	Treatment
S01	Leaf	drought	T0
S02	Leaf	irrigated	T0
S03	Leaf	drought	T33
S04	Leaf	irrigated	T33
S05	Leaf	drought	T0
S06	Leaf	irrigated	T0
S07	Leaf	drought	T33
S08	Leaf	irrigated	T33
S09	Leaf	drought	T0
S10	Leaf	irrigated	T0
S11	Leaf	drought	T33
S12	Leaf	irrigated	T33
S13	Leaf	drought	T0
S14	Leaf	irrigated	T0
S15	Leaf	drought	T33
S16	Leaf	irrigated	T33
S17	Leaf	drought	T0
S18	Leaf	irrigated	T0
S19	Leaf	drought	T33
S20	Leaf	irrigated	T33
S21	Root	drought	T0
S22	Root	irrigated	T0
S23	Root	drought	T33
S24	Root	irrigated	T33
S25	Root	drought	T0
S26	Root	irrigated	T0
S27	Root	drought	T33
S28	Root	irrigated	T33
S29	Root	drought	T0
S30	Root	irrigated	T0
S31	Root	drought	T33
S32	Root	irrigated	T33
S33	Root	drought	T0
S34	Root	irrigated	T0
S35	Root	drought	T33
S36	Root	irrigated	T33
S37	Root	drought	T0
S38	Root	irrigated	T0
S39	Root	drought	T33
S40	Root	irrigated	T33
